"PAYEX_LABEL_1","PayEx Online Payment"
"PAYEX_LABEL_2","Online betaling med tilg&aelig;ngelige betalingsmidler h&aring;ndteret af PayEx."
"PAYEX_LABEL_3","Du bliver sendt videre til PayEx for at gennemf&oslash;re betalingen i en sikret forbindelse. Tryk p&aring; knappen nedenfor hvis PayEx-vinduet ikke vises.<br>Har din browser blokering af pop-up vinduer, skal du holde <b>CTRL</b> nede, n&aring;r du klikker p&aring; knappen."
"PAYEX_LABEL_4","&Aring;bn PayEx betalingsvindue"
"PAYEX_LABEL_5","Betalingen blev <b>ikke</b> godkendt af PayEx.<br><br>Betalingen blev afvist med f&oslash;lgende fejlkode: "
"PAYEX_LABEL_6","G&aring; til kassen"
"PAYEX_LABEL_7","PayEx betalingsinformation"
"PAYEX_LABEL_8","Transaktionsnummer:"
"PAYEX_LABEL_9","Betalingsdato:"
"PAYEX_LABEL_10","Klik her for at g&aring; til PayEx og h&aring;ndtere transaktionen"
"PAYEX_LABEL_11","Der er ikke registreret betaling for denne ordre endnu!"
"PAYEX_LABEL_12","Der skete en fejl i adresseopdateringen. Fejlkode: "
"PAYEX_LABEL_13","http://www.payex.dk"
"PAYEX_LABEL_14","G&aring; til PayEx.dk"
