"PAYEX_LABEL_1","PayEx Online Payment"
"PAYEX_LABEL_2","Online payment with available payment methods processed by PayEx."
"PAYEX_LABEL_3","You will be redirected to PayEx for processing the payment. However if the PayEx payment window does not occur please click on the button below.<br>If you use a pop-up blocker you must hold down <b>CTRL</b> as you click the button."
"PAYEX_LABEL_4","Open the payment window"
"PAYEX_LABEL_5","The payment was <b>not</b> approved by PayEx.<br><br>The payment was rejected with errorcode: "
"PAYEX_LABEL_6","Goto checkout"
"PAYEX_LABEL_7","PayEx payment information"
"PAYEX_LABEL_8","Transaction number:"
"PAYEX_LABEL_9","Payment date:"
"PAYEX_LABEL_10","Click here to go to PayEx and handle the transaction"
"PAYEX_LABEL_11","There is not registered any payment for this order yet!"
"PAYEX_LABEL_12","Updating the address failed. Errorcode: "
"PAYEX_LABEL_13","http://www.payex.com"
"PAYEX_LABEL_14","Visit PayEx.com Website"
