"PAYEX_LABEL_1","PayEx Online Payment"
"PAYEX_LABEL_2","Online betaling med tilgjengelige betalingsmidler prosessert av PayEx."
"PAYEX_LABEL_3","Du vil bli sendt til PayEx for &aring; utf&oslash;re betalingen. Dersom PayEx-vinduet ikke vises, vennligst trykk p&aring; knappen nedenfor.<br>Dersom din nettleser blokkerer pop-up vinduer, m&aring; du holde nede <b>CTRL</b> tasten samtidig som du klikker p&aring; knappen."
"PAYEX_LABEL_4","&Aring;pne PayEx Betalingsvindu"
"PAYEX_LABEL_5","Betalingen ble <b>ikke</b> godkjent av PayEx.<br><br>Betalingen ble avvist med f&oslash;lgende feilkode: "
"PAYEX_LABEL_6","G&aring; til kassen"
"PAYEX_LABEL_7","PayEx betalingsinformasjon"
"PAYEX_LABEL_8","Transaksjonsnummer:"
"PAYEX_LABEL_9","Betalingsdato:"
"PAYEX_LABEL_10","Klikk her for &aring; g&aring; til PayEx for &aring; behandle transaksjonen"
"PAYEX_LABEL_11","Det er ikke registrert en betaling for denne ordren!"
"PAYEX_LABEL_12","Adresseoppdateringen feilet med f&oslash;lgende feilkode: "
"PAYEX_LABEL_13","http://www.payex.no"
"PAYEX_LABEL_14","Bes&oslash;k PayEx.no"
