"PAYEX_LABEL_1","PayEx Online Payment"
"PAYEX_LABEL_2","Online betalning med tillg&auml;ngliga betalningsmetoder hanterade av PayEx."
"PAYEX_LABEL_3","Du kommer bli skickad till PayEx i ett separat f&ouml;nster f&ouml;r att utf&ouml;ra betalningen. V&auml;nligen tryck p&aring; knappen nedanf&ouml;r om PayEx-f&ouml;nstret ej visas.<br>Om din webl&auml;sare blockerar pop-up f&ouml;nster m&aring;ste du h&aring;lla nere <b>CTRL</b>-knappen samtidigt som du klickar p&aring; knappen."
"PAYEX_LABEL_4","&Ouml;ppna PayEx Betalningsf&ouml;nster"
"PAYEX_LABEL_5","Betalningen <b>nekades</b> av PayEx med f&ouml;ljande felkod: "
"PAYEX_LABEL_6","G&aring; till Kassa"
"PAYEX_LABEL_7","PayEx betalnings information"
"PAYEX_LABEL_8","Transaktionsnummer:"
"PAYEX_LABEL_9","Betaldatum:"
"PAYEX_LABEL_10","Klicka h&auml;r f&ouml;r att g&aring; till PayEx f&ouml;r att administrera transaktionen"
"PAYEX_LABEL_11","Det finns ingen betalning registrerad f&ouml;r denna order!"
"PAYEX_LABEL_12","Adressuppdateringen misslyckades med f&ouml;ljande felkod: "
"PAYEX_LABEL_13","http://www.payex.se"
"PAYEX_LABEL_14","Bes&ouml;k PayEx.se"
